title,reviews
백조의 호수 (SWAN LAKE),"[메가박스 볼쇼이 발레 인 시네마] 백조의 호수 : 날개가 없어도 날 수 있는 인간들

오페라, 뮤지컬, 콘서트, 국악 등 다양한 공연 콘텐츠가 반갑다.
계속 영화관에서 실황공연을 만나 보고 싶다.
메가박스에서 2021년 공연한 볼쇼이 발레 시리즈는 부담되는 가격이지만 대형 스크린으로 만나는 볼쇼이 발레의 진수를 만날 수 있어 반갑다.
기념품 엽서는 티켓 가격에 비하면 너무 조잡하고 성의 없다.
호두까ㅈ기 인형과 마찬가지로 출연자와 사진이 상이하기는 이번에도 마찬가지였다.

스파르타쿠스와 호두까기 인형에 이은 백조의 호수는 발레를 모르는 나 같은 무지한 사람도 익히 알고 있는 작품이다.
발레라고는 손꼽아 공연장을 찾은 나지만 백조의 호수는 가장 먼저 접한 발레 작품이고 가장 감명 있게 관람하여 볼쇼이 실황공연도 놓칠 수 없었다.
백조의 호수는 매튜본, 로열발레, 마린스키, 볼쇼이 세가지 버전을 모두 관람했는데 이번 볼쇼이 발레 버전은 로열발레 버전으로 공연되었다. 
출연 : 올가 스미르노바(오데트/오딜), 
자코포 티시(지그프리드 왕자), 
예고르 그라쉬첸코(사악한 마법사)


지그프리드 왕자는 비현실적인 신체 비주얼을 갖고 있다.
순정만화 왕자의 모습과 같이 길쭉길쭉 경이로운 신체 비율을 소유한 만찢남이다.
목도 길고, 다리도 길고, 팔도 길다.
도약 후 앙트르샤로 발이 교차하는 횟수를 확인하기 힘들 정도로 현란하였다.


백조의 호수에서 광대는 크게 부각되지 않는데 가장 고난이도 동작을 보여준다.
볼쇼이는 풍부한 발레리노를 보유한 발레단답게 광대의 역동적인 동작을 소화하는 무용수의 춤동작에 초반 넋을 잃게 만든다.
왕자와 선을 보는 세계 각국의 공주들의 춤동작도 백조의 호수의 또 다른 매력적인 장면이다.


악마에게 이끌려 백조를 만난 왕자는 바로 사랑에 빠진다.
차이콥스키 음악은 아름다움을 넘어 대중적인 팝송의 느낌으로 가볍고 말랑거릴 정도다.
볼쇼이 오케스트라의 세련된 연주도 발레 공연의 완성도를 높여 주었다.


왕자와 함께 악마의 이중무는 기괴하면서도 압도적인 공포감을 던져 놓는다.
남녀 주인공의 파드되와 다른 2인 발레리노의 동작은 남성이 보여주는 아름다움에 특별한 매력이 있다.


발레는 군무보다 독무에서 매력을 찾지만 백조의 호수의 상징과 같은 장면은 40명의 백조들이 추는 군무에서 묘미를 찾을 수 있다.
무용복하면 백조의 호수가 떠오를 만큼 강렬한 장면이다.
춤동작 하나하나 백조를 연상 시키는 뒤틀리고 애처로운 몸동작이 주는 감동은 환상적이다.


백조 오데트와 흑조 오딜은 1인2역으로 발레리나 혼자 담당하여 보는 입장에서 체력적인 부담이 걱정된다.
청순하고 가녀린 백조와 다르게 흑조 오딜은 당차고 뇌쇄적인 눈빛과 사악한 미소로 전혀 다른 인물 성격을 보여준다.
39회전 연속 회전은 숨이 막혀 호흡을 할 수 없을 정도로 경이적이었다.


백조의 움직임을 인간이 따라해야 되는 동작이라 신체에 무리가 되는 가학적인 장면이 무용수의 고단한 연습 과정을 피부로 느낀다.


발레 작품 가운데 압권이라고 하지만 개인적으로는 스파르타쿠스가 더욱 감동적이었는데 상대적으로 백조의 호수라는 작품이 친숙한 작품이기에 신비감에서 차이가 난 것 같다.
또 다른 이유는 발레리나의 가녀리고 아름다운 동작보다 발레리노의 역동적이고 빠른 춤동작이 주는 낯설음에 대한 반응일 수도 있다.


흑조에게 속아 사랑을 고백한 왕자는 곧 잘못된 결과를 깨닫지만 이미 백조의 저주를 풀 수 없게 되어 함께 죽음에 이르는 결말로 끝을 맺었다.
해피엔딩 보다 비극이 주는 결말이 여운이 더 많이 남는다.


백조 가운데 3인무와 4인무의 독자적인 춤동작도 아름답지만 여주인공에 집중된 스포트라이트로 상대적으로 소홀히 넘어가 기억에 오래 남지 않게 된다.
특별히 관심을 두고 3인무와 4인무를 감상했는데 춤이 아름다운 것인지 발레리나가 아름다운 것인지 분간이 안된다.


흑조와 백조의 차이점이라면 의상 하나 바뀌었을 뿐인데 춤동작, 표정 그리고 차이콥스키의 음악까지 대조적이다.


올해부터는 가능하면 공연 관람 지출을 줄이려고 계획하였다.
그러나 볼쇼이 발레 실황공연은 놓치고 싶지 않다.
적재적소의 카메라 움직임, 좋은 음향 그리고 다른 발레보다는 초점이 흐리기는 했지만 만족스러운 선명도까지 러시아 볼쇼이 극장 일열로 여행을 다녀온 느낌이다.

 단 두 번, 제한상영으로 지난 토요일 영화관이 제법 가득 관객으로 채워졌다.
우리나라에 클래식 애호가 특히 발레 팬층이 두꺼움을 확인하였다.
국립발레단, 유니버셜발레단 공연의 경우 아이돌 공연 매진속도와 비슷할 정도다.

볼쇼이극장을 보면 부러운 관객을 위한 극장이다.
세종문화회관은 공연 주최자를 위한 극장이라 군사 문화의 잔재가 남아있어 무조건 대규모를 크기만 키웠다.
1층에서도 좌우측에 치우쳐 자리 잡으면 무대의 사각지대가 발생한다.
2층 뒷좌석부터는 개미만한 배우들의 모기만한 소리가 전달된다.
예술의 전당 역시 세종문화회관 보다는 낫지만 불편하기는 매 한 가지다.
더욱 한심스러운 점은 지방 중소도시의 극장도 웅장하게만 지어져 관객 입장의 극장보다 외관의 화려함을 부각 시키는 경우가 많다.
객석을 채우지 못하면 초대장을 남발하여 웅성거리면서 수다를 떠는 부녀회 모임을 재현한다.
볼쇼이의 관객 친화적인 무대 구성과 1년에 수 십번 바뀌는 레퍼토리도 믿기지 않는다.
수십차례의 공연 완성도가 저마다 경이적이라서 오페라, 발레단의 두터운 출연진이 놀라울 뿐이다. 

백조의 호수
감독
이사벨 줄리안
개봉
2022.01.15. 러시아
평점
리뷰보기"
백조의 호수 (SWAN LAKE),"백조의 호수
감독
이사벨 줄리안
개봉
2022.01.15. 러시아
리뷰보기

 메가박스에서 좋은 걸 해 준다기에 호다닥 다녀왔다. 나의 첫 발레 경험. 오페라 볼 때 생각하고 10명도 안 될 줄 알았는데, 그 유명한 '백조의 호수'라 그런지 생각보다 사람이 많았다. 

 막이 오르자 나타난 넓고 잘 꾸며진 무대와 수많은 사람들, 예쁘고 화려한 의상들은 이미 오페라에서도 많이 봤던 것들이라 꽤 익숙했다. 

 차이점은 1. 노래하는 사람이 없다. 2. 모두가 춤을 춘다. 3. 옆에서 춤을 추면 주인공이 노래를 부르는 게 아니라 같이 춘다. 이 정도..? 

 근데 그 얼마 안 돼 보이는 차이가 정말 어마어마하게 컸다. 대사가 없으니 지금 이 상황이 정확히 어떤 상황인지 파악하기 어렵고, 그러다 보니 스토리도 단순해지고 전달할 수 있는 감정의 폭도 훨씬 적다는 느낌이었다. 예전에 같이 오페라 보러 갔을 때 쭈가 발레는 가볍게 보기 좋은데 오페라는 너무 무겁다고 했던 게 어떤 의미였는지 이제야 이해가 갔다. 

 예를 들어 지그프리트 왕자가 작위를 받는 첫 장면. 오페라라면 일단 다 나와서 떼창 한 번 부르고 조연 노래/본인 노래 한 곡씩 정도 부르면 끝날 것 같은데 얘네는 그 한 장면에 정말 끝도 없이 춤을 춘다. 일단 다 같이 나와서 군무 추고, 추고 추고 또 추고, 이런 저런 새로운 사람들 막 등장하고, 왕자는 춤추고, 그러다 또 누구인지 정확히 알 수 없는 솔로 무용수들 나와서 왕자랑 같이 추고? 

 왕자와 오데트가 처음 만나는 장면 역시 왕자가 어쩌다 거길 갔는지, 지금 저 백조들이 저기에서 움직이는 게 무슨 뜻인지 알 수는 없었지만 흰 옷을 입은 백조들은 끝없이 춤을 췄다. 군무로도 췄다가, 오데트 혼자서도 췄다가, 오데트와 왕자가 함께 추기도 했다가, 다시 백조들이 군무를 추다가, 둘이서도 추다가, 넷이서도 추다가- 무슨 뜻인지도 잘 모르겠는 끝없는 춤, 춤, 춤들. 

 춤추는 사람들도, 춤 동작들도 굉장히 아름답긴 했다. 정말 길고 가느다란 팔다리들이 마치 요정이라도 되는 것처럼 우아하고 아름답게 사방에서 뛰고 돌고 날아올랐다. '분홍신'은 1940년대 영화라 그런지 사람들 다 다리 엄청 튼튼해 보였는데. 

 흑조 오딜이 나오는 2부는 꽤 재미있었다. 다양한 국가의 공주들이 나와서 여러 컨셉으로 춤을 추는 게 신선하기도 했고, 오데트였을 때 연약하고 상처 받은 백조 같던 프리마 발레리나의 자신감 넘치는 표정 연기와 화려한 회전 기술도 엄청났다. 거기다 강한 비트감에 맞춘 로트바르트의 회전 동작도 뭔가 멋졌다. 개인적으로는 하얀 타이즈를 부담스럽게 입은 지그프리트 왕자보다 로트바르트의 의상이나 캐릭터가 더 멋있었던 것 같다. 

 인터미션 시간에 잠깐 찾아보니까 엔딩은 해피엔딩과 세드엔딩이 꽤 다양한 버전으로 있었다. 이번 공연처럼 왕자가 오딜에게 속아 넘어가 사랑을 맹세하고 오데트가 자살하는 엔딩도 꽤 흔한 버전인 것 같았다. 나는 인어공주처럼 원작 동화나 소설 같은 게 있는 줄 알았는데, 엔딩들을 보니 그게 아니라 원래 발레곡으로서만 존재하는 이야기인지도 모르겠다. 

 아름다웠다. 근데 솔직히 많이 졸았다.. (..) 특히 백조들 군무 출 때. 저는 그냥 다음 스토리가 보고 싶어효.. 

 좋은 경험이었지만 아마 또 가진 않을 듯. 재밌는 오페라가 보고 싶은데, 작년에 Met가 공연을 별로 못한 탓인지 메가박스에 올라오는 게 죄다 본 거 아니면 안 끌리는 거라 아쉽다. "
백조의 호수 (SWAN LAKE)," 
안녕하세요~ 바빌론입니다. 
어느덧 설 연휴를 기다리고 있는 요즘입니다.
건강 관리 잘 하시길 바랍니다.


바빌론이 이번에 작성할 후기는 지난 2022/01/15/MEGABOX 코엑스점/더 부티크 104호(백신패스관)에서 <볼쇼이 발레 인 시네마:백조의 호수(Swan Lake)>공연실황을 관람하였는바, 이에 대한 주관적인 후기를 작성해 보려합니다.




-관람 전 코엑스점 로비에서-

 (1) 개인적으로 지난 15일 토요일 저녁, MEGABOX에서 상영하는 <볼쇼이 발레 인 시네마> 세번째 프로그램인 <백조의 호수>공연실황을 관람하기 위해 삼성동 코엑스점으로 발길을 향했습니다.

앞서 두 개의 프로그램(스파르타쿠스, 호두까기 인형)은 평일 저녁에 관람하였지만 이번 <백조의 호수>는 평일 저녁 7시에 상영하였는바, 평소 월요일 저녁 7시 관람 시간의 경우 컨디션 조절 등 여러가지 사정으로 이번에는 주말 티켓을 예매 및 관람하였습니다.

바빌론의 경우, 3~4년전 영국 로열 발레단의 공연실황으로 위 작품을 접한 적이 있지만 볼쇼이 발레단의 전막공연실황으로는 이번이 처음이었는바, 소위 러시아 오리지널 버전의 공연실황에 대한 기대반, 호기심반으로 관람하였습니다.





 

(2) 결론부터 말하자면 발레의 교과서라 불릴 만큼 명불허전(名不虛傳)이었습니다.

참고로 위 작품의 경우 크게 2막으로 구성되었는바 주관적이지만 1막에서는 단연 접시 모양의 고전발레 의상인 클래식 튀튀(tutu)를 입고 백조를 연상케하는 24~32명으로 구성된 여성 무용수들의 부드러움과 절도가 느껴지는 군무(群舞)가 인상적이었습니다.







 



 

또한 2막에서는 남녀 주인공인 지그프리트 왕자와 흑조(Black Swan) 오딜의 2인무를 비롯해 특히, 흑조의 몸 동작 중 볼쇼이 오케스트라의 연주에 맞춰 다른 쪽 다리를 업 앤 다운(Up&Down)으로 계속 움직이면서 다른 쪽 다리를 채찍질 하듯이 차면서 경쾌하게 회전하는 동작인 '푸에테(fouette)'의 수십회 연속 동작은 적어도 바빌론으로 하여금 시각적 쾌감(快感)을 느끼게 하는 등 단연 압권이었습니다.

아울러, 작품 속 '백조, 흑조(오데트/오딜)'의 1인 2역을 소화한 발레리나 '올가 스미르노바(Olga Smirnova)'의 큰 신체조건에서 뿜어져 나오는 손, 몸 동작을 비롯해 얼굴 표정 등에서 흡사 백조, 흑조를 연상케하기에 충분할 만큼 매우 아름답게 보였습니다.

마찬가지로 큰 신장과 더불어 잔근육으로 다져진 몸의 광대, 마법사, 왕자 역을 맡은 발레리노들의 몸 동작들을 보니 같은 남자가 보아도 매력적이었다. 





 
(3) 관람 후 집에 도착하여 지난 연말에 오픈하고 남은 '토니 포트(Tawny Port)와인'을 마셨는바, 마치 토니 포트 와인 병의 블랙 색상이 흑조의 이미지 및 위 작품 속 '차이코프스키'의 음악과 '그리고로비치'의 안무와의 부드러운 조화처럼 바빌론의 입 속에서 토니 포트 와인의 스위트(Sweet)한 맛이 더욱 기분 좋게 느껴졌습니다.

지난 <호두까기 인형>에 이어 금번 <백조의 호수>상영때에도 코엑스점 기준으로 기존 더 부티크 104호 예매 오픈에 이어 중형관 컴포트 3관이 추가 오픈 되는 등 <백조의 호수>에 대한 관객들의 큰 관심을 느낄 수 있었는바, 한편으로는 단 이틀간의 상영 포맷으로 진행되는 <볼쇼이 발레 인 시네마>프로그램이 아직까지는 발레 애호가를 비롯해 일반 관객들에게도 나름 좋은 반응을 얻고 있는 듯 싶습니다.





-관람 후 토니 포트 와인을 마시며-



바빌론에게도 기존 메가박스에서 접해 온 오페라, 음악회 콘텐츠와는 다르게 일회성이 아닌 시즌제로 상영하는 발레 콘텐츠가 나름 신선하게 다가오는것이 사실입니다. 앞으로도 메가박스를 통해 다양한 클래식 콘텐츠를 만나 볼 수 있기를 기대해봅니다.



우리, 발레(Ballet) 데이트 해요~         








      


P.S

참고로, 지난 <호두까기 인형>관람 후기 인스타그램(@winejaejoon) 이벤트에 운좋게 당첨되어
'호두까기 인형 타월' 득템!! ^^;;

         


 "
뱅드림! 팝핀' 드림! (BanG Dream! Poppin' Dream!),"코로나로 인해 해외여행이 힘들어졌다. 

스트레스를 풀 수 있는 활동은 더욱 위축되고, 고립되기 쉬운 인간관계는 우리를 한없이 외롭게 한다. 

끝없는 경쟁과 취업준비, 반복되는 일과와 마스크와 함께하는 답답함은 우리를 더욱 지치게한다.


그러던 중 시원한 단비처럼 나타난 팝핀드림의 개봉소식!!

사실 나는 뱅드림에 대해서 아는게 거의 없다. 다만 주인공의 독특한 헤어스타일이 귀엽다 생각한 적은 있었다. 
그러던 중 이번에 이 친구(카스미)가 소속된 밴드가 주인공으로 나온대서 보러갔다.


바다내음이 물씬 풍기는 아름다운 풍경. 
이국에서 펼쳐지는 때로는 고즈넉하고도 청초한, 때로는 파워풀하면서 화려하게 수놓아지는 공연을 보고있노라면 마치 내가 바다건너 휴양지에 온듯한 해방감과 설렘을 느낄 수 있었다.


우리 모두는 꿈을 꾸고 그 꿈을 마음속에 품고 살아간다. 

비록 현실이 지겹고 반복되고 답답하고 힘들지라도 우리 마음속에 살아있는 꿈이 오늘의 우리를 또 살아가게 한다.


뱅드림의 노래는 이야기한다. 꿈을 포기하지 말라고. 힘들어도 별이 가득한 밤하늘을 보며 웃어보자고.

뱅드림의 음악은 멈추지 않는다. 이 시대를 살아가는 우리도 마찬가지다.

별이 가득한 밤하늘을 보며 오늘도 힘내자.

뱅드림 화이팅!! 대한민국 화이팅!!"
버즈 라이트이어 (Lightyear),"버즈 라이트이어
감독
앤거스 맥클레인
출연
크리스 에반스, 타이카 와이티티, 피터 손
개봉
2022.06.15. 미국
평점
리뷰보기

오 완전 저 천진난만 동심스탈이라 짱 잼나게 봄!

우주선 로봇 신행성 대우주ㅎㄷㄷ역시 믿고 보는 디즈니와 픽사!

삭스라는 고냥이로봇 장난감으로 초대박날듯 

엔딩전 왜이리 짠하고 감동인지요 정말 몰입감짱이고 빵빵 터지는 코믹요소들도 좋았고요 

우주개척이란 의미가 참 강하네요 아 장난감 갖고팡

엔딩크레딧 쿠키영상이 무려3개나 ㅎㄷㄷㄷ 절대 스크린 꺼질때까지 퇴실하시면 후회!!!"
버즈 라이트이어 (Lightyear),"20220616
용산 CGV IMAX-D-25
만원의 행복
3.5/5
 

우주 저 너머 운명을 건 미션, 무한한 모험이 시작된다!

미션 #1
나, 버즈 라이트이어.
인류 구원에 필요한 자원을 감지하고 현재 수많은 과학자들과 미지의 행성으로 향하고 있다.
이번 미션은 인류의 역사를 새롭게 쓸 것이라 확신한다.
 미션 #2
잘못된 신호였다.
이곳은 삭막하고 거대한 외계 생물만이 살고 있는 폐허의 땅이다.
나의 실수로 모두가 이곳에 고립되고 말았다.
모두를 구하기 위해서 모든 것을 제자리에 돌려 놔야 한다.
 미션 #3
실수를 바로잡기 위한 탈출 미션을 위해 1년의 준비를 마쳤다.
어쩌다 한 팀이 된 정예 부대와 이 미션을 수행할 예정이다.
우주를 집어삼킬 ‘저그’와 대규모 로봇 군사의 위협이 계속되지만
나는 절대 포기할 수 없다.
그런데… 여긴 또 어디지? 시간 속에 갇힌 건가?
-네이버 영화-
 <풀아맥 우주풍경이라서 봐줬다>
들려오는 흉흉한 소문들에도 한번 볼 거 용아맥에서 보자 하고 저녁도 거르고 입장!!

토이 스토리의 엄청난 팬까진 아니어도 재밌게 본 시리즈라서 어느 정도 기대치가 있었는데 지인의 기미 관람으로 그 기대치를 내려놓고 보길 잘한 듯...
픽사만의 감성과 스토리텔링이 픽사의 애니를 기대하고 선택하는 큰 이유였는데 이번엔 영 아니네ㅠㅠ
늘 등장하는 민폐+사고뭉치 캐릭터들과 그 뒷수습하다가 본인의 오만함을 반성하는 잘난 주인공, 그리고 늘 귀여운 마스코트 캐릭터까지... 너무 뻔하고 식상한 메시지만 가득.
그나마 다행이었던 건 용아맥으로 봐서 풀아맥으로 펼쳐지는 우주 풍경을 볼 수 있었다는 것과 잔망스럽고 사랑스러운 삭스의 모습을 크게 봤다는 것?! 
딱히 추천하지도, 비추하지도 않을 그저 그랬던 픽사 애니.

덧. 이 애니가 PC이슈가 있다는 게 놀라울 따름. 대체 어느 시대에서 무슨 생각으로 살고 있는지...

토이 스토리의 팬이라면 좀 실망하지 않을까?!라고 조심스레 생각해보는...
한번 볼 거라면 용아맥을 추천하고 싶다!!

버즈 라이트이어
리뷰보기
감독 앤거스 맥클레인 출연 크리스 에반스, 타이카 와이티티, 피터 손
 "
버즈 라이트이어 (Lightyear),"버즈 라이트이어
감독
앤거스 맥클레인
출연
크리스 에반스, 타이카 와이티티, 피터 손
개봉
2022.06.15. 미국
평점
리뷰보기



앤거스 맥클레인 감독이 연출한 <버즈 라이트이어>는 픽사의 시리즈물인 <토이스토리>의 대표캐릭터 중 한 명인 버즈를 주인공으로 한 스페이스물입니다.
  버즈는 상관이자 파트너인 앨리샤와 함께 인류 구원에 필요한 자원을 감지해 수많은 과학자들과 함께 미지의 행성으로 향합니다. 하지만 버즈의 실수로 인해 예상과는 달리 삭막한 이곳에서 고립되고 맙니다. 버즈는 자기 실수를 만회하기 위해 또 다시 비행을 하지만 실패로 돌아갑니다. 그런데 비행을 마치고 돌아오니 자신은 몇 분 정도 비행을 했을 뿐인데 지상에서의 시간은 벌써 4년이나 지나고 말았습니다. 두 공간에서 시간의 차이가 발생해버리고만 것이죠. 우울증에 빠진 버즈에게 앨리샤는 로봇 고양이 '삭스'를 건네주기도 합니다.
  계속되는 시도에 앨리샤는 버즈를 말려보지만 버즈는 꼭 성공하겠다는 다짐을 하고 몇 번의 시도를 다시 합니다. 그렇게 지상에서의 시간은 훌쩍 지나가 버리고 앨리샤도 버즈에게 마지막 말을 남기고 떠납니다. 앨리샤가 떠나고 그 자리를 맡은 상관은 버즈에게 더 이상의 비행을 허락하지 않습니다. 하지만 버즈는 이를 어기고 다시 비행을 하게 되는데 이번엔 다른 곳에 불시착하게 됩니다. 그곳에서 앨리샤의 손녀, 이지와 그의 친구들인 다비와 모도 함께 만납니다. 뭔가 어설픈 이들이지만 일명 '저그'라는 로봇군을 대항하기 위해 버즈와 이지 일당들은 함께 힘을 합칩니다.
  <버즈 라이트이어>는 <토이스토리>에서 우디와 함께 메인 캐릭터 중 하나인 버즈의 스핀오프라고 볼 수 있는 작품입니다. 자신감이 가득한 인물이지만 실수로 인해 그것을 만회하려는 타협이 조금 없는 인물입니다. 하지만 타임라인이 서로 달라지면서 버즈는 함께했던 친구들을 먼저 보내버리고 맙니다. 그 시간의 차이는 저그의 보스를 만나면서 더욱 더 혼돈에 빠지고 맙니다.
  버즈 캐릭터 자체도 흥미롭지만 고양이 삭스를 비롯한 조연 캐릭터들의 매력으로 가득찬 작품이기도 했습니다. 우주 공간을 두려워하는 이지의 캐릭터라던지 주어진 것을 모두 잘 해결해나가는 삭스의 캐릭터는 너무 사랑스럽습니다. 고양이의 특징을 제대로 잡아 캐릭터화했습니다. 베르나르 베르베르의 고양이 3부작의 바스테트처럼 삭스도 매력을 똘똘 뭉친 캐릭터였습니다.
  마블시리즈처럼 아마 픽사도 거대한 유니버스를 꿈꾸는 듯 한 느낌이 들게 하는 작품이었습니다. 그 세계의 확장으로서의 첫 발자국은 성공적이었지만 예상치 못한 이슈로 인해 작품성 자체가 제대로 평가받지 못한다는 생각이 조금 들었습니다. 후속작이 나올진 모르겠지만 개인적으로 조금 더 지켜보고 싶은 스핀오프였습니다."
버즈 라이트이어 (Lightyear),"우주특공대원의 모험

우주특공대원 ‘버즈 라이트이어’를 포함한 동료들은 지구로부터 420만 광년 떨어진 어느 행성에 불시착한다. ‘버즈’는 동료들이 행성에서 빠져나오기 위한 임무를 수행하던 중 시간 지연으로 인해 그가 4분 동안 비행하는 사이 행성에는 4년이라는 시간이 흘러버렸다.

어렵사리 행성으로 돌아온 ‘버즈’는 계속해서 임무를 수행하지만 실패에 실패를 거듭하고, 시간은 속절없이 흘러버리는데.

새로운 버즈 라이트이어

2022년에 개봉한 <버즈 라이트이어>는 <토이 스토리 시리즈>에서 주역으로 활약했던 ‘버즈 라이트이어’가 주인공인 작품입니다. 정확히 얘기하면 ‘장난감’ 버즈 라이트이어가 아닌 인간 ‘버즈 라이트이어’가 주인공입니다.

기존 <토이 스토리 시리즈>와 직접적인 연결은 아니지만 어느 정도 연관성은 있습니다. <버즈 라이트이어>라는 영화에서 우주비행사로 활약하는 주인공 ‘버즈’를 기반으로 만들어진 장난감이 바로 <토이 스토리 시리즈>에 등장하는 ‘버즈’이기 때문입니다.

정리하면 <버즈 라이트이어>는 <토이 스토리 시리즈>의 극중극인 셈입니다.

픽사는 여러 상상력들로 새로운 세상을 경험하게 했습니다. 장난감이 살아 움직인다는 설정부터, 의인화된 감정들, 떠나간 이를 향한 그리움, 태어나기 이전 세계, 감정을 가지게 된 로봇 등 다양한 이야기를 끌어왔고, 아이들이 영상미를 즐기는 동안 어른들은 깊숙이 생각하게 하는 주제의식을 겸유한다는 특징도 갖고 있습니다.

<버즈 라이트이어>에서는 시간이라는 테마를 가지고 재미난 모험을 만들어냅니다. 임무수행을 위해 우주로 떠났던 ‘버즈’가 짧은 비행을 하는 동안 행성에 살던 동료들은 이미 긴 세월을 보낸 뒤였습니다.

불행의 연속인 시간을 원래대로 돌리려고 하지만 시간은 야속하게도 그냥 흘러가버립니다. 그 과정에서 ‘버즈’와 모든 사람들은 과거를 잊지 못하고 그때처럼 돌아가기 위해 계속 나아가느냐 과거는 잊고 현재에 머무르면서 앞으로 나아가느냐 라는 딜레마에 빠집니다.

시간 지연, 상대성 이론 등 어려운 과학이론을 끌어와 다양한 모험극을 보여주고 있어서 SF로서의 특이점을 여실히 보여주고 있습니다. 같은 이론을 사용한 <인터스텔라>보다 가볍게 받아들일지도 모르죠.

<버즈 라이트이어>는 스토리상의 허점이나 허술한 조연 캐릭터와 후반부 반전 등 픽사답지 않은 모양새인건 아쉬웠습니다. 가볍게 즐길 수 있는 영화이면서도 한 번의 성공을 위한 수많은 실패, 생전에 지키지 못한 약속, 연대감 등 어른들이 인생에서 고민해봤을 묵직한 주제를 던지는 건 여전히 픽사다웠습니다.

<토이 스토리> 1, 2편에 대한 오마주도 함께 섞여 있습니다. <토이 스토리> 1편에서 ‘버즈’의 첫 대사를 그대로 써먹는가 하면, 그를 대표하는 명대사도 사용합니다. 2편에서 ‘버즈’가 (물론 장난감인) ‘저그 황제’와 대면하는 장면을 비슷하게 활용하기도 합니다. 하지만 영화 속 캐릭터들의 재미와 활약은 인간들이 아닌 고양이 로봇 ‘삭스’가 다 가져갑니다. ‘버즈’를 포함한 나머지 캐릭터들만 있었다면 영화의 분위기를 말아먹을 뻔 했습니다.



하이퍼 스피드에 도달하는 ‘버즈 라이트이어’
 'Light year'라는 그의 이름에 걸맞는 장면입니다.



 “무한한 공간, 저 너머로!” - ‘버즈 라이트이어’


버즈 라이트이어
감독
앤거스 맥클레인
출연
크리스 에반스, 타이카 와이티티, 피터 손
개봉
2022.06.15. 미국
평점
리뷰보기"
버즈 라이트이어 (Lightyear),"버즈 라이트이어
감독
앤거스 맥클레인
출연
크리스 에반스, 타이카 와이티티, 피터 손
개봉
2022.06.15. 미국
평점
리뷰보기
영화가 끝나자 마자
토요일 예매했던 용아맥을 시원하게 취소했다.

이 영화의 단 하나의 장점은
인터스텔라가 얼마나 위대한 영화였던가를 깨닫게 해준다는 점이다.

주인공 캐릭터가 전혀 매력이 없다.
고집만 세고, 능력을 보여준 인간만 사람 취급을 하고
심지어 로봇 고양이도 능력을 보여주니 대우가 달라진다.

전형적인 이 시대 꼰대의 모습을 보여준다.

픽사도 맛탱이 간 거 같다.




엔딩 크레딧 다 올라가고
쿠키가 나오는데
그닥..."
